st_code,st_date,st_open,st_close,st_volume
FB,2019-08-13,183.91,186.81,13577000
FB,2019-08-14,184.18,178.15,18903700
FB,2019-08-15,179.37,181.0,12925900
FB,2019-08-16,182.15,182.1,12654600
FB,2019-08-19,184.39,184.55,9691200
FB,2019-08-20,183.84,182.21,10083400
FB,2019-08-21,183.39,181.95,8398200
FB,2019-08-22,181.83,180.46,10821400
FB,2019-08-23,179.27,176.2,17323400
FB,2019-08-26,177.84,178.79,8773600
FB,2019-08-27,180.35,179.72,14399600
FB,2019-08-28,178.96,180.18,9386100
FB,2019-08-29,182.17,183.95,10128700
FB,2019-08-30,185.15,184.05,10774500
FB,2019-09-03,182.4,180.8,9779400
FB,2019-09-04,183.04,185.51,11308000
FB,2019-09-05,186.89,189.24,13876700
FB,2019-09-06,188.55,185.86,15226800
FB,2019-09-09,186.1,187.12,14722400
FB,2019-09-10,185.81,184.55,15455900
FB,2019-09-11,184.84,186.85,11761700
FB,2019-09-12,188.21,185.84,11419800
FB,2019-09-13,185.7,185.56,11441100
FB,2019-09-16,185.3,184.6,8444800
FB,2019-09-17,185.04,186.44,9671100
FB,2019-09-18,186.45,186.5,9681900
FB,2019-09-19,187.02,188.48,10392700
FB,2019-09-20,189.0,188.28,19934200
FB,2019-09-23,187.69,185.19,13327600
FB,2019-09-24,186.34,179.7,18546600
FB,2019-09-25,179.87,181.21,18068300
FB,2019-09-26,179.75,178.54,16083300
FB,2019-09-27,178.92,175.56,14656200
FB,2019-09-30,176.32,176.53,10740000
FB,2019-10-01,177.59,174.28,17073000
FB,2019-10-02,173.32,173.08,16151700
FB,2019-10-03,174.04,177.82,16086300
FB,2019-10-04,177.99,178.88,10430200
FB,2019-10-07,178.43,178.12,9178300
FB,2019-10-08,176.71,176.2,9466900
FB,2019-10-09,177.6,178.28,7556900
FB,2019-10-10,178.75,178.46,8605000
FB,2019-10-11,180.56,182.59,14930500
FB,2019-10-14,182.6,181.68,7006000
FB,2019-10-15,182.2,187.25,15039100
FB,2019-10-16,186.68,187.9,10516900
FB,2019-10-17,188.64,188.73,9603000
