st_code,st_date,st_open,st_close,st_volume
GOOGL,2019-08-13,58.72,59.84,28434000
GOOGL,2019-08-14,58.8,58.21,35430000
GOOGL,2019-08-15,58.42,58.47,28506000
GOOGL,2019-08-16,59.04,58.96,24916000
GOOGL,2019-08-19,59.59,60.02,24450000
GOOGL,2019-08-20,59.77,59.18,20206000
GOOGL,2019-08-21,59.79,59.58,14152000
GOOGL,2019-08-22,59.69,59.58,17352000
GOOGL,2019-08-23,59.26,57.68,36254000
GOOGL,2019-08-26,57.97,58.56,21166000
GOOGL,2019-08-27,59.15,58.54,23460000
GOOGL,2019-08-28,58.24,58.69,16810000
GOOGL,2019-08-29,59.32,59.71,19636000
GOOGL,2019-08-30,60.02,59.53,18064000
GOOGL,2019-09-03,59.09,58.48,25908000
GOOGL,2019-09-04,58.97,59.11,21312000
GOOGL,2019-09-05,59.68,60.61,26394000
GOOGL,2019-09-06,60.46,60.32,18972000
GOOGL,2019-09-09,60.35,60.26,31854000
GOOGL,2019-09-10,59.8,60.28,27922000
GOOGL,2019-09-11,60.19,61.0,23522000
GOOGL,2019-09-12,61.17,61.75,31644000
GOOGL,2019-09-13,61.61,62.0,23676000
GOOGL,2019-09-16,61.52,61.58,28218000
GOOGL,2019-09-17,61.58,61.49,20806000
GOOGL,2019-09-18,61.51,61.63,17440000
GOOGL,2019-09-19,61.62,61.94,16554000
GOOGL,2019-09-20,61.68,61.49,37692000
GOOGL,2019-09-23,61.33,61.73,20798000
GOOGL,2019-09-24,62.0,60.92,35804000
GOOGL,2019-09-25,60.8,62.3,26798000
GOOGL,2019-09-26,62.11,62.11,23166000
GOOGL,2019-09-27,62.14,61.3,34122000
GOOGL,2019-09-30,61.03,61.06,24470000
GOOGL,2019-10-01,61.12,60.3,24504000
GOOGL,2019-10-02,59.83,58.9,33030000
GOOGL,2019-10-03,59.17,59.47,28368000
GOOGL,2019-10-04,59.71,60.55,24282000
GOOGL,2019-10-07,60.35,60.41,17040000
GOOGL,2019-10-08,59.94,59.51,20086000
GOOGL,2019-10-09,60.07,60.12,15948000
GOOGL,2019-10-10,59.93,60.47,12842000
GOOGL,2019-10-11,61.2,60.79,22330000
GOOGL,2019-10-14,60.69,60.89,13296000
GOOGL,2019-10-15,61.08,62.11,27584000
GOOGL,2019-10-16,62.09,62.15,22986000
GOOGL,2019-10-17,62.57,62.64,20958000
